Type d'acte;Année;Arrondissement;Nombres
PACS;2017;3ème arrdt;46
Reconnaissances;2011;17ème arrdt;600
PACS;2019;5ème arrdt;246
Reconnaissances;2012;10ème arrdt;514
Reconnaissances;2013;5ème arrdt;148
Reconnaissances;2013;6ème arrdt;93
Reconnaissances;2014;9ème arrdt;238
Reconnaissances;2014;15ème arrdt;834
Reconnaissances;2015;11ème arrdt;709
Reconnaissances;2016;5ème arrdt;143
Reconnaissances;2017;2ème arrdt;98
Reconnaissances;2018;15ème arrdt;812
Reconnaissances;2018;16ème arrdt;264
Reconnaissances;2019;16ème arrdt;238
Mariages;2004;1er arrdt;121
Mariages;2005;3ème arrdt;251
Mariages;2005;8ème arrdt;220
Mariages;2006;4ème arrdt;128
Mariages;2006;10ème arrdt;548
Mariages;2006;13ème arrdt;851
Mariages;2009;8ème arrdt;243
Mariages;2010;12ème arrdt;544
Mariages;2012;7ème arrdt;239
Mariages;2013;19ème arrdt;851
Mariages;2014;17ème arrdt;557
Mariages;2015;14ème arrdt;504
Mariages;2016;18ème arrdt;800
Mariages;2018;10ème arrdt;420
Mariages;2018;16ème arrdt;788
Mariages;2019;14ème arrdt;566
Mariages;2019;15ème arrdt;921
Décès;2005;11ème arrdt;301
Décès;2006;3ème arrdt;44
Décès;2006;7ème arrdt;173
Décès;2008;14ème arrdt;1802
Décès;2009;14ème arrdt;1916
Décès;2010;7ème arrdt;163
Décès;2010;15ème arrdt;3280
Décès;2010;16ème arrdt;1004
Décès;2011;19ème arrdt;955
Décès;2012;6ème arrdt;105
Décès;2014;12ème arrdt;1577
Décès;2015;6ème arrdt;117
Décès;2015;7ème arrdt;155
Décès;2015;17ème arrdt;289
Décès;2016;9ème arrdt;95
Décès;2016;13ème arrdt;2192
Décès;2016;17ème arrdt;342
Décès;2017;6ème arrdt;103
Décès;2019;11ème arrdt;302
Décès;2019;17ème arrdt;351
PACS;2018;6ème arrdt;94
PACS;2019;19ème arrdt;578
Naissances;2006;4ème arrdt;5
Naissances;2007;2ème arrdt;3
Naissances;2008;8ème arrdt;2
Naissances;2008;14ème arrdt;9961
Naissances;2009;16ème arrdt;1395
Naissances;2010;11ème arrdt;1847
Naissances;2010;20ème arrdt;2471
Naissances;2011;17ème arrdt;1631
Naissances;2014;9ème arrdt;4
Naissances;2017;8ème arrdt;0
Naissances;2017;19ème arrdt;3035
Naissances;2019;3ème arrdt;1
Naissances;2019;13ème arrdt;2927
Naissances;2020;8ème arrdt;3
Reconnaissances;2005;13ème arrdt;1447
Reconnaissances;2007;14ème arrdt;710
Reconnaissances;2008;13ème arrdt;1003
Reconnaissances;2009;14ème arrdt;702
Reconnaissances;2010;16ème arrdt;293
Reconnaissances;2012;20ème arrdt;929
Reconnaissances;2014;17ème arrdt;586
Reconnaissances;2016;14ème arrdt;687
Reconnaissances;2017;3ème arrdt;124
Reconnaissances;2017;10ème arrdt;551
Reconnaissances;2017;11ème arrdt;613
Reconnaissances;2017;19ème arrdt;877
Reconnaissances;2019;9ème arrdt;210
Mariages;2006;19ème arrdt;1003
Mariages;2007;5ème arrdt;279
Mariages;2008;6ème arrdt;219
Mariages;2009;4ème arrdt;128
Mariages;2010;3ème arrdt;174
Mariages;2010;20ème arrdt;699
Mariages;2011;2ème arrdt;107
Mariages;2012;19ème arrdt;933
Mariages;2014;4ème arrdt;146
Mariages;2015;13ème arrdt;680
Mariages;2016;19ème arrdt;861
Mariages;2017;6ème arrdt;189
Mariages;2017;11ème arrdt;636
Mariages;2018;6ème arrdt;175
Mariages;2018;15ème arrdt;1003
Mariages;2020;15ème arrdt;699
Décès;2004;12ème arrdt;1529
Décès;2004;16ème arrdt;711
Décès;2006;14ème arrdt;1831
Décès;2007;7ème arrdt;210
Décès;2007;16ème arrdt;906
Décès;2008;7ème arrdt;224
Décès;2008;9ème arrdt;85
Décès;2008;16ème arrdt;950
Décès;2009;12ème arrdt;1558
Décès;2011;4ème arrdt;279
Décès;2011;13ème arrdt;2184
Décès;2011;16ème arrdt;920
Décès;2011;20ème arrdt;1111
Naissances;2005;9ème arrdt;1
